word;tag;freq_A1;freq_A2;freq_B1;freq_B2;freq_C1;freq_C2
accomplir;VER;16.6991;4.542;30.0973;8.7861;4.139;38.656
accomplissement;NOM;0.0;0.0;0.6378;0.0;6.0005;19.328
accord;NOM;7.8018;0.6228;12.3832;23.2806;113.9785;123.165
accorder;VER;4.1728;30.9525;45.0125;8.3751;133.8641;113.6757
accordéon;NOM;0.0;0.0;0.0;1.2705;0.0;0.0
accoter;VER;0.0;0.0;0.5857;0.0;0.0;0.0
accouchement;NOM;0.0;0.0;0.0;0.0;6.0005;0.0
accoucher;VER;1.2635;0.6228;4.9077;0.0;0.0;0.0
accouder;VER;0.0;0.0;0.438;0.0;0.0;0.0
accourir;VER;0.0;0.0;0.3906;8.4038;0.0;0.0
accroc;NOM;0.0;0.0;0.0;0.911;0.0;0.0
accrochage;NOM;0.0;0.0;0.0;1.2705;0.0;0.0
accroche;NOM;0.0;3.376;0.0;0.0;0.0;0.0
accrocher;VER;0.5504;23.4712;32.3822;21.1614;18.0014;0.0
accroire;VER;0.0;0.0;6.7886;0.0;0.0;0.0
accroissement;NOM;0.0;0.0;5.1436;0.0;0.0;0.0
accroître;VER;0.0;0.0;0.5857;0.8102;68.3463;77.4712
accrue;NOM;0.0;0.0;0.0;0.0;4.139;0.0
accréditer;VER;0.0;0.0;0.0;0.0;3.4423;0.0
accueil;NOM;52.3206;21.1529;35.6702;23.1002;20.024;0.0
accueillant;ADJ;2.3528;0.4664;0.0;0.0;0.0;0.0
accueillir;VER;107.2178;33.3076;68.0894;44.7845;85.2966;77.312
accumulation;NOM;0.0;0.0;0.0;2.2839;0.0;0.0
accumuler;VER;0.4856;0.0;9.4768;2.2839;4.139;0.0
accusateur;NOM;0.0;0.0;0.438;0.0;0.0;0.0
accusation;NOM;0.0;0.0;3.5679;1.3018;0.0;0.0
accuser;VER;1.8874;4.7328;24.7156;153.5827;20.6179;0.0
accusé;NOM;0.0;0.0;0.0;1.3018;0.0;0.0
accès;NOM;0.171;14.0555;24.4185;48.0921;68.3291;86.9662
accéder;VER;0.0;6.8285;13.5449;9.0915;19.861;173.9324
accélérateur;NOM;0.0;0.0;0.5857;0.0;6.0005;0.0
accélération;NOM;0.0;0.0;0.0;2.2839;4.139;19.328
