abandon
abbé
abdomen
abdominal
aberration
abolition
abominable
abondance
abondant
absence
absent
absolu
absolument
absolution
absorption
abstinence
abstraction
absurde
absurdité
abuser
académie
académique
accélération
accélérer
accent
accentuer
acceptable
accès
accessoire
accident
accidentel
accidentellement
acclamation
accompagner
accord
accuser
acétone
acide
acoustique
acrobatique
acteur
action
active
activité
activités
actuaire
addiction
addition
addresse
adhérent
adjacent
admettre
administrateur
administratif
administration
admirable
admirer
admission
adolescence
adolescent
adopter
adoption
adorable
adorer
adulte
adversaire
affirmatif
affluent
africain
agence
agenda
agent
aggression
agile
agonie
agrégat
agriculture
air
aire
alarme
album
algorithme
alias
aliment
alimentaire
allergique
alliance
alphabet
alphabetique
altération
alternative
altitude
aluminium
ambiance
ambitieux
ambition
ambulance
amendement
américain
amiral
amputation
amusement
anaconda
analogie
analyser
analytique
ancêtre
anecdote
ange
anglais
animal
anniversaire
annoncer
antérieur
anxieux
août
apparaître
appartement
appearance
appétit
applicable
apprécie
approximation
aqueduc
arbitraire
ardent
aristocratie
aristocratique
arithmétique
armure
arrogance
articulation
artiste
artistique
assassin
assistance
assistant
association
associer
assurance
astronome
astronomie
atmosphère
atmosphérique
atome
attention
attraper
auteur
authentique
autobiographie
autographe
automatique
automobile
autoriser
autorité
avantage
aventure
azote
baggage
ballet
banane
bandage
banjo
banquet
bar
baron
base
batterie
belligérant
bénédiction
bénéfice
beurre
bible
bicyclette
biographie
bis
blouse
bombardement
bombe
botanique
bourgeois
bourgeoisie
bouton
brilliance
brilliant
brilliant(e)
brutal
bureaucratie
cabine
cable
cadence
café
cafétéria
cage
calamité
calcination
calme
calorie
caméra
camouflage
campagne
candidat
candide
canon
canyon
capable
capacité
capitaine
capturer
caractéristique
catastrophe
cathode
catholique
causalité
cause
caverne
celebration
célébrer
central
centre
céramique
cercle
céréale
cérémonial
cérémonie
certificat
champion
chance
chef
cheminée
chemique
chimique
chimiste
chimpanze
chirurgien
chocolat
choléra
chrome
chromosome
cidre
cigarette
ciment
cinéma
circonstance
circuit
circulaire
circulation
circumstance
citadelle
civil
civilisation
civiliser
clan
classe
classifier
client
climatique
cohésion
collaboration
collectif
colonie
combinaison
comité
commentaire
commerce
commun
commune
communication
compagnie
compagnon
comparer
compétition
complet
complètement
compléter
compliment
comporter
composition
concentration
concert
condition
conducteur
conférence
confetti
confidentiel
confus
confusion
conjugal
connexion
conscience
conséquence
constellation
constitution
construction
consulter
contagieux
contamination
contexte
continent
continue
continuer
contracter
contradiction
contraire
contribution
convenient
convergence
conversation
converser
convertir
convoi
coopération
coordination
correct
correctement
côte
couleur
cousin
coyote
criminel
critique
crocodile
cruauté
cubique
culture
curieux
curiosite
cycle
cyclique
cycliste
danger
danse
date
décembre
décent
décider
décisive
déclarer
décoration
décrire
défendre
déficient
définition
délicat
délicieux
deliverance
démocratique
démonstration
démontrer
dentiste
départements
dépendance
dépendre
déporter
dépression
désastre
désastreux
descendant
description
déserter
despotisme
déspotisme
destiné
destruction
détail
détecteur
détenir
déterminer
détruire
diagonal
diagramme
dialecte
dialogue
diamant
diamètre
dictateur
diction
dictionnaire
diffÃ©rence
différent
difficulte
digestion
diligent
dimension
dinosaure
direct
directement
directeur
direction
discrimination
discussion
discuter
disparaître
dispute
distance
distant
distinct
distribuer
divorce
docteur
document
documentation
dollar
domaine
dominance
donation
double
douzaine
dragon
dramatique
durable
dynamite
échapper
économie
économique
édition
effective
égoïste
election
électricité
electrique
électrique
elegance
élément
éléphant
ellipse
emotion
émotion
empereur
empire
employé
employeur
encouragement
endurance
énergie
énorme
énormité
entreprise
entrer
énumération
épisode
equation
équation
équivalent
érosion
espagnol
essentiel
estimer
estomac
èthique
étudier
évidemment
évident
exact
exactement
exagérer
exalter
examiner
excellent
exception
exceptionel
exceptionnellement
exclamer
excuser
exemption
exercice
exotique
expansionniste
expédition
expérience
expert
explosion
exporter
extra
extraordinaire
extravagant
extréme
fabrication
faction
factoriel
fameuse
fameux
familial
familier
famille
fantastique
fasciner
fatigue
favorable
favori
favorite
femelle
fémur
ferme
fermenter
fermier
féroce
fertile
festival
festive
fiancé
fibre
fiction
film
final
finalement
finance
firme
fixation
fleur
flexible
folklore
football
forêt
forme
formule
fragile
fragrance
français
frégate
fruit
function
funérailles
furieux
fusion
futur
galant
galaxie
gallon
ganglion
gaz
géant
gêne
général
généralement
génération
généreuse
généreux
génétique
genre
géologique
girafe
global
glorieux
golf
gorille
gothique
gouvernement
gracieuse
gracieux
gramme
gratifier
gravitation
groupe
guide
habitable
habitation
harmonie
hasard
hectare
helicoptère
hérédité
héros
heure
hiérarchie
hippopotame
histoire
historique
honneur
hôpital
horizontal
hormone
horrible
hôte
hôtel
humain
humanité
hydrocarbone
hygiénique
idéal
idéalisme
Idée
identifiable
identification
identifier
identique
identité
ignorance
ignorant
ignorer
illégal
illusion
image
imaginaire
imagination
imaginer
imitation
immédiatement
immigrant
immoral
impact
imparfait
impartial
impatience
implicite
implorer
importance
important
importer
impossible
imposteur
impression
improbable
inaccessible
incident
incrédible
incrément
incurable
indépendance
indépendant
indicative
indulgence
industriel
infection
information
injection
innocence
innocent
insecte
inséparable
insérer
insister
inspection
instinct
instruction
insulter
intelligence
intelligent
intéressant-e
intéressante
international
interrompre
intolerance
introduction
introduire
invasion
inventer
inventeur
investiguer
invitation
inviter
invulnérable
irrigation
jalousie
jardin
joie
jonction
journaliste
juge
jungle
justice
justifiable
justifier
juvenile
képi
kir
laborieux
lamenter
latent
latitude
leader
leçon
légal
legion
lentille
léopard
liberté
ligament
ligne
limitation
limon
lion
liquide
liste
local
localiser
locomotive
logique
longitude
lotterie
loyauté
lucide
lyrique
machine
magazine
magicien
magique
magnésium
magnétique
magnificence
magnifique
majesté
mâle
manière
manuel
marcher
marionnette
maritime
mars
maximum
mécanicien
mécanisme
médaille
médian
médical
mélancolie
mélodie
mémoire
mental
mercenaire
mesure
métal
métaphore
méthodologie
métrique
microscope
militaire
million
miniature
minimal
minute
minutes
mobile
modifier
moment
monarchie
montagne
monument
moral
morale
motion
musée
music
musique
mystére
mystérieux
naïf
narration
nation
national
nationalisme
nature
naturel
naturellement
navigation
néccessaire
nécessité
nectar
négatif
négligent
négocier
nerveux
neveu
nom
nombre
nonchalant
nonne
normalement
notable
notamment
notation
notice
